격분한,"['anger', '0.964']"
충격,"['anger', '0.269']"
쏘다,"['anger', '0.606']"
병 들게하는,"['anger', '0.606']"
차별,"['anger', '0.606']"
적대적인,"['anger', '0.606']"
불평,"['anger', '0.485']"
항문,"['anger', '0.606']"
좌절하다,"['anger', '0.547']"
시장 조작,"['anger', '0.603']"
장력,"['anger', '0.603']"
모욕,"['anger', '0.403']"
뱃머리,"['anger', '0.603']"
상처가 나는,"['anger', '0.603']"
압박,"['anger', '0.603']"
싫음,"['anger', '0.602']"
관입하는,"['anger', '0.598']"
거친 것,"['anger', '0.597']"
중상,"['anger', '0.562']"
놈,"['anger', '0.594']"
침입,"['anger', '0.594']"
찌름,"['anger', '0.594']"
딱한,"['anger', '0.594']"
공격하다,"['anger', '0.594']"
사상자 수,"['anger', '0.594']"
신랄,"['anger', '0.594']"
병적 상태,"['anger', '0.594']"
대소동,"['anger', '0.594']"
깜짝 놀람,"['anger', '0.592']"
타락한,"['anger', '0.591']"
미쳐 날뛰는,"['anger', '0.591']"
기요틴,"['anger', '0.591']"
저지른,"['anger', '0.591']"
부도덕 한,"['anger', '0.591']"
억지로,"['anger', '0.591']"
압도하는,"['anger', '0.591']"
고집 불통,"['anger', '0.588']"
침입자,"['anger', '0.531']"
공황,"['anger', '0.588']"
나사로 죈,"['anger', '0.588']"
분개,"['anger', '0.587']"
질투,"['anger', '0.587']"
안절부절 못하는,"['anger', '0.586']"
대치하다,"['anger', '0.582']"
짐승,"['anger', '0.562']"
조절판,"['anger', '0.579']"
난파선,"['anger', '0.578']"
리볼버,"['anger', '0.578']"
너네 잘한다,"['anger', '0.578']"
손해,"['anger', '0.578']"
푸주한,"['anger', '0.578']"
말다툼하는,"['anger', '0.578']"
약탈,"['anger', '0.469']"
불꽃,"['anger', '0.578']"
일격,"['anger', '0.578']"
논쟁의,"['anger', '0.578']"
감금,"['anger', '0.578']"
도전적인,"['anger', '0.578']"
자극하는,"['anger', '0.578']"
속눈썹,"['anger', '0.578']"
암,"['anger', '0.577']"
좌절,"['anger', '0.576']"
피투성이의,"['anger', '0.576']"
소원,"['anger', '0.576']"
불일치,"['anger', '0.576']"
더듬다,"['anger', '0.576']"
겸손,"['anger', '0.576']"
차별하다,"['anger', '0.576']"
혼란스러운,"['anger', '0.576']"
총,"['anger', '0.576']"
교착 상태,"['anger', '0.576']"
비웃음,"['anger', '0.500']"
전광,"['anger', '0.574']"
억압적인,"['anger', '0.574']"
죽음,"['anger', '0.574']"
갑자기 찌르기,"['anger', '0.574']"
기괴,"['anger', '0.574']"
똥,"['anger', '0.573']"
비하하는,"['anger', '0.571']"
삭감,"['anger', '0.571']"
불공정,"['anger', '0.571']"
교수대,"['anger', '0.570']"
차츰 오르다,"['anger', '0.569']"
편협한,"['anger', '0.564']"
무법,"['anger', '0.563']"
파멸,"['anger', '0.562']"
조롱,"['anger', '0.484']"
시무룩한,"['anger', '0.562']"
수뢰,"['anger', '0.562']"
속은,"['anger', '0.562']"
걸림돌,"['anger', '0.562']"
곰 같은,"['anger', '0.562']"
침략하다,"['anger', '0.562']"
풀무,"['anger', '0.562']"
섬광,"['anger', '0.562']"
배신자,"['anger', '0.529']"
승강이,"['anger', '0.562']"
반시,"['anger', '0.561']"
파편,"['anger', '0.561']"
큰 화재,"['anger', '0.561']"
위태롭게 하다,"['anger', '0.561']"
도둑,"['anger', '0.561']"
날뛰다,"['anger', '0.561']"
창살,"['anger', '0.561']"
지독한,"['anger', '0.561']"
바보,"['anger', '0.515']"
배신,"['anger', '0.561']"
제어 할 수없는,"['anger', '0.561']"
맞다,"['anger', '0.561']"
십자가,"['anger', '0.561']"
방해받은,"['anger', '0.559']"
진압,"['anger', '0.559']"
밟은,"['anger', '0.557']"
그랩,"['anger', '0.557']"
똑딱 거리는,"['anger', '0.556']"
마조히즘,"['anger', '0.556']"
고충,"['anger', '0.556']"
도전,"['anger', '0.364']"
위반,"['anger', '0.469']"
처벌,"['anger', '0.547']"
날카로운,"['anger', '0.547']"
어두운면,"['anger', '0.547']"
불행,"['anger', '0.547']"
뽐내는,"['anger', '0.547']"
상이,"['anger', '0.547']"
경계,"['anger', '0.547']"
총기류,"['anger', '0.547']"
터무니없는,"['anger', '0.547']"
반역자,"['anger', '0.547']"
속이다,"['anger', '0.424']"
훔친,"['anger', '0.546']"
유모,"['anger', '0.545']"
가열 된,"['anger', '0.545']"
망가진,"['anger', '0.545']"
협박,"['anger', '0.516']"
창피하다,"['anger', '0.545']"
태클,"['anger', '0.545']"
공모자,"['anger', '0.545']"
반칙,"['anger', '0.545']"
길항근,"['anger', '0.545']"
분개 한,"['anger', '0.545']"
편견,"['anger', '0.545']"
논의,"['anger', '0.545']"
작은 접전,"['anger', '0.545']"
굳어진,"['anger', '0.545']"
빠뜨리는,"['anger', '0.544']"
강도,"['anger', '0.544']"
항의,"['anger', '0.544']"
투덜 대다,"['anger', '0.544']"
화해 할 수없는,"['anger', '0.543']"
저항,"['anger', '0.543']"
폐쇄적 인,"['anger', '0.542']"
당황,"['anger', '0.266']"
폭도,"['anger', '0.538']"
나쁜 상태,"['anger', '0.536']"
조소,"['anger', '0.534']"
방화범,"['anger', '0.533']"
조명탄,"['anger', '0.532']"
퇴화,"['anger', '0.300']"
제한,"['anger', '0.359']"
격화,"['anger', '0.531']"
편견없는,"['anger', '0.530']"
무모한,"['anger', '0.391']"
구속을받지 않은,"['anger', '0.531']"
진술,"['anger', '0.531']"
공산주의,"['anger', '0.531']"
분쟁,"['anger', '0.531']"
혼전,"['anger', '0.530']"
불협화음,"['anger', '0.406']"
부당한,"['anger', '0.530']"
독재적인,"['anger', '0.530']"
정당하지 못한,"['anger', '0.530']"
곡해,"['anger', '0.530']"
태클 된,"['anger', '0.530']"
뜨거운,"['anger', '0.529']"
감옥,"['anger', '0.529']"
죄,"['anger', '0.529']"
자살,"['anger', '0.521']"
휴근,"['anger', '0.517']"
바보 같은,"['anger', '0.516']"
불신,"['anger', '0.516']"
타락,"['anger', '0.516']"
크레 톤스,"['anger', '0.516']"
이혼,"['anger', '0.516']"
굽다,"['anger', '0.516']"
grrr,"['anger', '0.516']"
배기,"['anger', '0.516']"
반하는,"['anger', '0.516']"
무례한,"['anger', '0.516']"
불법의,"['anger', '0.451']"
흠잡다,"['anger', '0.516']"
죄인,"['anger', '0.331']"
부정한,"['anger', '0.516']"
반역,"['anger', '0.516']"
희생 된,"['anger', '0.515']"
담즙,"['anger', '0.470']"
불친절한,"['anger', '0.515']"
용서를주지 않는,"['anger', '0.515']"
풀다,"['anger', '0.351']"
강제,"['anger', '0.409']"
꾸짖다,"['anger', '0.515']"
혼돈,"['anger', '0.515']"
심술 궂은,"['anger', '0.328']"
노호,"['anger', '0.515']"
밀렵,"['anger', '0.515']"
매달린,"['anger', '0.515']"
힘,"['anger', '0.418']"
밀렵꾼들,"['anger', '0.515']"
입론,"['anger', '0.515']"
격투,"['anger', '0.514']"
고발,"['anger', '0.510']"
포기,"['anger', '0.438']"
덜어 없애다,"['anger', '0.509']"
모양이 변형 된,"['anger', '0.508']"
피하다,"['anger', '0.324']"
억압,"['anger', '0.500']"
~을,"['anger', '0.500']"
다루기 힘든,"['anger', '0.500']"
지독한 시련,"['anger', '0.500']"
막다,"['anger', '0.453']"
감손,"['anger', '0.500']"
열렬,"['anger', '0.500']"
거품이 일다,"['anger', '0.500']"
거부하다,"['anger', '0.500']"
합,"['anger', '0.500']"
창,"['anger', '0.500']"
단단한,"['anger', '0.500']"
대조법,"['anger', '0.500']"
부당,"['anger', '0.500']"
추방 된,"['anger', '0.500']"
갇힌,"['anger', '0.500']"
광란의,"['anger', '0.500']"
망치질,"['anger', '0.500']"
무서움,"['anger', '0.500']"
격통,"['anger', '0.500']"
정면의,"['anger', '0.500']"
소유 한,"['anger', '0.500']"
무시하다,"['anger', '0.500']"
비웃다,"['anger', '0.500']"
우호적 인,"['anger', '0.500']"
망상적인,"['anger', '0.500']"
부정 요법,"['anger', '0.500']"
받지 않다,"['anger', '0.500']"
인성,"['anger', '0.492']"
광기,"['anger', '0.469']"
죄가 많은,"['anger', '0.491']"
탐욕,"['anger', '0.490']"
억압하다,"['anger', '0.379']"
비 승인 된,"['anger', '0.485']"
비인간적 인,"['anger', '0.485']"
수요,"['anger', '0.485']"
폐하다,"['anger', '0.485']"
해,"['anger', '0.469']"
밀수선,"['anger', '0.485']"
취소,"['anger', '0.485']"
갈고리 발톱,"['anger', '0.485']"
반체제의,"['anger', '0.485']"
나쁜 길로 이끌다,"['anger', '0.485']"
근친 상간,"['anger', '0.485']"
불순종 한,"['anger', '0.485']"
빼앗다,"['anger', '0.485']"
소외시키다,"['anger', '0.485']"
복수 자,"['anger', '0.485']"
괴로운,"['anger', '0.485']"
불명예,"['anger', '0.441']"
책략,"['anger', '0.484']"
의심 많은,"['anger', '0.484']"
빨판,"['anger', '0.484']"
팽팽한,"['anger', '0.484']"
대변동,"['anger', '0.484']"
포기하다,"['anger', '0.484']"
제지하다,"['anger', '0.484']"
쫓아 내다,"['anger', '0.484']"
소송중인,"['anger', '0.484']"
경쟁,"['anger', '0.484']"
패널티,"['anger', '0.484']"
투옥 된,"['anger', '0.484']"
반대하는,"['anger', '0.484']"
난류,"['anger', '0.483']"
파운드,"['anger', '0.481']"
추위,"['anger', '0.477']"
일한 보람 없는,"['anger', '0.472']"
대대,"['anger', '0.471']"
stoopid,"['anger', '0.471']"
인질,"['anger', '0.470']"
신앙심 없는 사람,"['anger', '0.470']"
램,"['anger', '0.470']"
고발인,"['anger', '0.470']"
성가신,"['anger', '0.470']"
역경,"['anger', '0.470']"
떼어 놓은,"['anger', '0.470']"
마찰,"['anger', '0.470']"
질투심 많은,"['anger', '0.470']"
봉건 제도,"['anger', '0.470']"
군비,"['anger', '0.470']"
때림,"['anger', '0.469']"
불평하다,"['anger', '0.469']"
선동하다,"['anger', '0.469']"
훔치다,"['anger', '0.469']"
좇지 않다,"['anger', '0.469']"
끓이다,"['anger', '0.469']"
이기적인,"['anger', '0.469']"
성냄,"['anger', '0.469']"
이기주의,"['anger', '0.469']"
물러나 다,"['anger', '0.469']"
억 눌린,"['anger', '0.469']"
파괴적 인,"['anger', '0.469']"
망명,"['anger', '0.469']"
상습적 범행,"['anger', '0.469']"
연기 내는 것,"['anger', '0.469']"
범인,"['anger', '0.469']"
싫어함,"['anger', '0.469']"
붕괴,"['anger', '0.469']"
견딜 수 없기,"['anger', '0.469']"
얼굴,"['anger', '0.467']"
고뇌,"['anger', '0.465']"
거만한,"['anger', '0.456']"
벤트,"['anger', '0.456']"
제거,"['anger', '0.456']"
피켓팅,"['anger', '0.456']"
귀찮은,"['anger', '0.455']"
외치다,"['anger', '0.455']"
체포 된,"['anger', '0.455']"
게 같은,"['anger', '0.455']"
거부권,"['anger', '0.455']"
스텁이있는,"['anger', '0.455']"
오도 ​​된,"['anger', '0.344']"
사망,"['anger', '0.455']"
비벼 먹은,"['anger', '0.455']"
백치,"['anger', '0.455']"
위법,"['anger', '0.455']"
불 침투성,"['anger', '0.455']"
전제국,"['anger', '0.453']"
빼앗긴,"['anger', '0.453']"
경건한,"['anger', '0.453']"
의견이 맞지 않는,"['anger', '0.453']"
심한,"['anger', '0.453']"
노력,"['anger', '0.453']"
~을 벗어나는,"['anger', '0.453']"
총검,"['anger', '0.453']"
히스테리 성의,"['anger', '0.453']"
잘못,"['anger', '0.448']"
지나간,"['anger', '0.441']"
정신병,"['anger', '0.441']"
혐오,"['anger', '0.440']"
징벌 적,"['anger', '0.439']"
너클,"['anger', '0.439']"
인형,"['anger', '0.439']"
분리,"['anger', '0.439']"
최후 통첩,"['anger', '0.439']"
가치 없는,"['anger', '0.438']"
부정하다,"['anger', '0.438']"
몸값,"['anger', '0.438']"
도망자,"['anger', '0.438']"
우둔,"['anger', '0.438']"
분리파,"['anger', '0.438']"
짜증나게 하는 것,"['anger', '0.438']"
망각,"['anger', '0.437']"
분리하다,"['anger', '0.437']"
부조리 한,"['anger', '0.435']"
축출,"['anger', '0.435']"
공모,"['anger', '0.432']"
털다,"['anger', '0.431']"
부정,"['anger', '0.344']"
게걸스러운,"['anger', '0.429']"
오버런,"['anger', '0.429']"
선구자,"['anger', '0.426']"
용감한,"['anger', '0.426']"
아픈,"['anger', '0.379']"
쉽게 믿지 않는,"['anger', '0.426']"
배제,"['anger', '0.426']"
방어,"['anger', '0.425']"
강한,"['anger', '0.424']"
검열,"['anger', '0.424']"
사기성의,"['anger', '0.424']"
임질,"['anger', '0.424']"
그릇된,"['anger', '0.424']"
은폐,"['anger', '0.424']"
욕심,"['anger', '0.424']"
불순종,"['anger', '0.424']"
야단법석,"['anger', '0.424']"
억지로 시키다,"['anger', '0.424']"
소시지,"['anger', '0.424']"
불만,"['anger', '0.424']"
동정심 없는,"['anger', '0.424']"
미늘,"['anger', '0.422']"
추방,"['anger', '0.422']"
선동,"['anger', '0.422']"
허위 진술 된,"['anger', '0.422']"
저격 한,"['anger', '0.422']"
침투,"['anger', '0.422']"
깨진,"['anger', '0.422']"
성가심,"['anger', '0.422']"
결투,"['anger', '0.422']"
교도소,"['anger', '0.422']"
풍자,"['anger', '0.422']"
쐐기풀,"['anger', '0.422']"
흉터,"['anger', '0.422']"
똥개,"['anger', '0.422']"
비뚤어진,"['anger', '0.368']"
짜다,"['anger', '0.415']"
능보,"['anger', '0.413']"
엄한,"['anger', '0.413']"
더러운,"['anger', '0.412']"
거친,"['anger', '0.307']"
사소한 말다툼,"['anger', '0.412']"
변덕스러운,"['anger', '0.412']"
수렵,"['anger', '0.411']"
계약서,"['anger', '0.410']"
가짜,"['anger', '0.152']"
끽소리 못 하게 함,"['anger', '0.409']"
얽히게 하다,"['anger', '0.409']"
모순 된,"['anger', '0.409']"
최고,"['anger', '0.409']"
좀도둑,"['anger', '0.258']"
캔 트윈,"['anger', '0.409']"
치욕,"['anger', '0.409']"
부적당 한,"['anger', '0.409']"
봉쇄,"['anger', '0.409']"
억류자,"['anger', '0.409']"
어긋나게 하다,"['anger', '0.409']"
거짓말하는,"['anger', '0.408']"
전염병,"['anger', '0.406']"
떨림,"['anger', '0.406']"
레일,"['anger', '0.406']"
번거로운,"['anger', '0.406']"
상상도 할 수없는,"['anger', '0.406']"
버림받은,"['anger', '0.406']"
미혹,"['anger', '0.406']"
악행,"['anger', '0.406']"
오소리,"['anger', '0.406']"
반감,"['anger', '0.406']"
불평등,"['anger', '0.406']"
폐가 되는 행위,"['anger', '0.406']"
스크래피,"['anger', '0.406']"
~시키다,"['anger', '0.406']"
인수들,"['anger', '0.404']"
외상성의,"['anger', '0.402']"
명예 훼손죄,"['anger', '0.400']"
순종,"['anger', '0.400']"
귀찮게하다,"['anger', '0.400']"
조심해,"['anger', '0.398']"
너무 느려,"['anger', '0.398']"
열광적 인,"['anger', '0.397']"
절름발이,"['anger', '0.397']"
짐배,"['anger', '0.396']"
멀리서 짖는 소리,"['anger', '0.394']"
권투,"['anger', '0.394']"
쓸데없는,"['anger', '0.394']"
끄다,"['anger', '0.394']"
건이 있는,"['anger', '0.394']"
무례,"['anger', '0.394']"
불법,"['anger', '0.394']"
어지러운,"['anger', '0.394']"
실행 가능한,"['anger', '0.394']"
고소하다,"['anger', '0.394']"
압수하다,"['anger', '0.394']"
유황,"['anger', '0.392']"
아아,"['anger', '0.391']"
돋우다,"['anger', '0.391']"
지진,"['anger', '0.391']"
grrrrr,"['anger', '0.391']"
해산,"['anger', '0.391']"
조작 된,"['anger', '0.391']"
동의하지 않는다,"['anger', '0.389']"
소송,"['anger', '0.386']"
사용하지 않는,"['anger', '0.382']"
부도덕,"['anger', '0.382']"
절망,"['anger', '0.382']"
어려움,"['anger', '0.379']"
불치의,"['anger', '0.379']"
